status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1618546326,2021-04-16 04:12:06,1.7244,LONG,3.5,,,0.00482682,"open:1.10002 sys0:[1.7243,1.7244]| close:1.10335 sys0:[1.7263,1.7264]",1618547641,2021-04-16 04:34:01,1.7263,0.0018231799999996008,1.1,0.008454552800000369
close,1618546326,2021-04-16 04:12:06,0.62427,SHORT,9.6,,,0.0047926272,"open:1.10002 sys1:[0.62427,0.62428]| close:1.10335 sys1:[0.62305,0.62308]",1618547641,2021-04-16 04:34:01,0.62308,0.006631372800000767,1.1,0.008454552800000369
close,1618546788,2021-04-16 04:19:48,1.7315,LONG,3.5,,,0.00483136,"open:1.10503 sys0:[1.7311,1.7315]| close:1.102 sys0:[1.7224,1.7227]",1618547690,2021-04-16 04:34:50,1.7224,-0.03668136000000038,1.105,0.008743075199999208
close,1618546788,2021-04-16 04:19:48,0.62595,SHORT,9.6,,,0.0047835648,"open:1.10503 sys1:[0.62595,0.62607]| close:1.102 sys1:[0.6207,0.62072]",1618547690,2021-04-16 04:34:50,0.62072,0.045424435199999585,1.105,0.008743075199999208
close,1618547791,2021-04-16 04:36:31,1.7116,LONG,3.5,,,0.0047821,"open:1.09002 sys0:[1.7115,1.7116]| close:1.08583 sys0:[1.7015,1.7018]",1618547826,2021-04-16 04:37:06,1.7015,-0.040132099999999324,1.09,0.007447820000000993
close,1618547791,2021-04-16 04:36:31,0.6214,SHORT,9.7,,,0.00480008,"open:1.09002 sys1:[0.6214,0.62148]| close:1.08583 sys1:[0.61597,0.616]",1618547826,2021-04-16 04:37:06,0.616,0.04757992000000032,1.09,0.007447820000000993
close,1618547902,2021-04-16 04:38:22,1.697,LONG,3.5,,,0.0047698,"open:1.08 sys0:[1.6969,1.697]| close:1.08851 sys0:[1.707,1.7072]",1618548178,2021-04-16 04:42:58,1.707,0.030230199999999253,1.08,0.007591566399998501
close,1618547902,2021-04-16 04:38:22,0.61688,SHORT,9.7,,,0.0047906336,"open:1.08 sys1:[0.61688,0.6169]| close:1.08851 sys1:[0.61869,0.61872]",1618548178,2021-04-16 04:42:58,0.61872,-0.022638633600000752,1.08,0.007591566399998501
close,1618549032,2021-04-16 04:57:12,1.6708,LONG,3.6,,,0.004825888,"open:1.05506 sys0:[1.6707,1.6708]| close:1.06155 sys0:[1.6777,1.6778]",1618549037,2021-04-16 04:57:17,1.6777,0.020014111999999307,1.055,0.008345712799999442
close,1618549032,2021-04-16 04:57:12,0.61563,SHORT,9.7,,,0.0047813992,"open:1.05506 sys1:[0.61563,0.61564]| close:1.06155 sys1:[0.61625,0.61634]",1618549037,2021-04-16 04:57:17,0.61634,-0.011668399199999865,1.055,0.008345712799999442
close,1618549026,2021-04-16 04:57:06,1.6765,LONG,3.6,,,0.004828624,"open:1.06002 sys0:[1.6764,1.6765]| close:1.0649 sys0:[1.6796,1.6798]",1618549069,2021-04-16 04:57:49,1.6796,0.006331376000000281,1.06,0.012127749199999335
close,1618549026,2021-04-16 04:57:06,0.6162,SHORT,9.7,,,0.004776626800000001,"open:1.06002 sys1:[0.6162,0.61638]| close:1.0649 sys1:[0.6149,0.61511]",1618549069,2021-04-16 04:57:49,0.61511,0.005796373199999054,1.06,0.012127749199999335
close,1618549207,2021-04-16 05:00:07,1.6603,LONG,3.6,,,0.004784432,"open:1.04997 sys0:[1.66,1.6603]| close:1.05406 sys0:[1.6628,1.6631]",1618549230,2021-04-16 05:00:30,1.6628,0.004215567999999453,1.05,0.0077676215999994015
close,1618549207,2021-04-16 05:00:07,0.61002,SHORT,9.8,,,0.0047779464,"open:1.04997 sys1:[0.61002,0.61003]| close:1.05406 sys1:[0.60904,0.60917]",1618549230,2021-04-16 05:00:30,0.60917,0.0035520535999999485,1.05,0.0077676215999994015
close,1618549126,2021-04-16 04:58:46,1.6672,LONG,3.6,,,0.0047965920000000006,"open:1.05505 sys0:[1.6668,1.6672]| close:1.05679 sys0:[1.6643,1.6644]",1618549295,2021-04-16 05:01:35,1.6643,-0.015236592000000005,1.055,0.01516216559999982
close,1618549126,2021-04-16 04:58:46,0.61156,SHORT,9.8,,,0.0047832424,"open:1.05505 sys1:[0.61156,0.61175]| close:1.05679 sys1:[0.60761,0.60797]",1618549295,2021-04-16 05:01:35,0.60797,0.030398757599999826,1.055,0.01516216559999982
close,1618549071,2021-04-16 04:57:51,1.6809,LONG,3.6,,,0.0048211999999999994,"open:1.06495 sys0:[1.6806,1.6809]| close:1.05935 sys0:[1.6675,1.6676]",1618549302,2021-04-16 05:01:42,1.6675,-0.053061199999999836,1.065,0.010087820000000011
close,1618549071,2021-04-16 04:57:51,0.6155,SHORT,9.7,,,0.00475098,"open:1.06495 sys1:[0.6155,0.61565]| close:1.05935 sys1:[0.60825,0.6085]",1618549302,2021-04-16 05:01:42,0.6085,0.06314901999999985,1.065,0.010087820000000011
close,1618549295,2021-04-16 05:01:35,1.664,LONG,3.6,,,0.004819488,"open:1.055 sys0:[1.6636,1.664]| close:1.06791 sys0:[1.6802,1.6806]",1618549357,2021-04-16 05:02:37,1.6802,0.053500511999999265,1.055,0.007084021999999537
close,1618549295,2021-04-16 05:01:35,0.60855,SHORT,9.9,,,0.004836490000000001,"open:1.055 sys1:[0.60855,0.6086]| close:1.06791 sys1:[0.61269,0.61275]",1618549357,2021-04-16 05:02:37,0.61275,-0.04641648999999973,1.055,0.007084021999999537
close,1618549334,2021-04-16 05:02:14,1.6772,LONG,3.6,,,0.004841791999999999,"open:1.06504 sys0:[1.6771,1.6772]| close:1.07044 sys0:[1.6818,1.6821]",1618549412,2021-04-16 05:03:32,1.6818,0.011718207999999243,1.065,0.0078024615999981815
close,1618549334,2021-04-16 05:02:14,0.61176,SHORT,9.8,,,0.0047977464000000004,"open:1.06504 sys1:[0.61176,0.61206]| close:1.07044 sys1:[0.61166,0.61167]",1618549412,2021-04-16 05:03:32,0.61167,-0.003915746400001061,1.065,0.0078024615999981815
close,1618549399,2021-04-16 05:03:19,1.6825,LONG,3.6,,,0.004864544,"open:1.07 sys0:[1.6824,1.6825]| close:1.08159 sys0:[1.6976,1.6977]",1618549642,2021-04-16 05:07:22,1.6976,0.049495455999999965,1.07,0.007243991199999494
close,1618549399,2021-04-16 05:03:19,0.61237,SHORT,9.8,,,0.0048154648000000005,"open:1.07 sys1:[0.61237,0.6124]| close:1.08159 sys1:[0.61611,0.61619]",1618549642,2021-04-16 05:07:22,0.61619,-0.04225146480000047,1.07,0.007243991199999494
close,1618547873,2021-04-16 04:37:53,1.6884,LONG,3.6,,,0.004881455999999999,"open:1.07494 sys0:[1.6879,1.6884]| close:1.08646 sys0:[1.7024,1.7025]",1618549934,2021-04-16 05:12:14,1.7024,0.04551854399999978,1.075,0.007383431999999988
close,1618548341,2021-04-16 04:45:41,1.6957,LONG,3.5,,,0.00475336,"open:1.08005 sys0:[1.6956,1.6957]| close:1.08646 sys0:[1.7024,1.7025]",1618549934,2021-04-16 05:12:14,1.7024,0.01869663999999953,1.08,0.007708171999999538
