status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617345173,"2021-04-02, 13:32:53",0.568575,buy,10.6,,,0.004873864,close 0.581025,1617348219,"2021-04-02, 14:23:39",0.5811,0.12789113599999913,0.115,0.029679299999999714
close,1617345173,"2021-04-02, 13:32:53",0.4535,sell,13.2,,,0.004821836,close 0.460575,1617348219,"2021-04-02, 14:23:39",0.460575,-0.09821183599999941,0.115,0.029679299999999714
close,1617333893,"2021-04-02, 10:24:53",0.572175,buy,10.5,,,0.004878105,close 0.589925,1617349370,"2021-04-02, 14:42:50",0.590025,0.18254689500000018,0.13,0.01242414300000036
close,1617333893,"2021-04-02, 10:24:53",0.4424,sell,13.6,,,0.004882752,close 0.45455,1617349370,"2021-04-02, 14:42:50",0.45455,-0.17012275199999982,0.13,0.01242414300000036
close,1617349377,"2021-04-02, 14:42:57",0.590025,buy,10.2,,,0.005254372,close 0.697175,1617589058,"2021-04-05, 09:17:38",0.69715,1.0874206279999998,0.135,1.120912748
close,1617349378,"2021-04-02, 14:42:57",0.45515,sell,13.2,,,0.00478788,close 0.45225,1617589058,"2021-04-05, 09:17:38",0.45225,0.03349212000000031,0.135,1.120912748
close,1617349791,"2021-04-02, 14:49:51",0.586075,buy,10.2,,,0.005234372,close 0.697175,1617589058,"2021-04-05, 09:17:38",0.69715,1.1277306280000003,0.13,1.1737527480000003
close,1617349791,"2021-04-02, 14:49:51",0.4561,sell,13.2,,,0.004797879999999999,close 0.45225,1617589058,"2021-04-05, 09:17:38",0.45225,0.04602211999999987,0.13,1.1737527480000003
close,1617593500,"2021-04-05, 10:31:40",0.67995,buy,8.8,,,0.00480208,close 0.68525,1617593969,"2021-04-05, 10:39:29",0.68525,0.041837920000000015,0.225,0.039348159999999605
close,1617593500,"2021-04-05, 10:31:40",0.454675,sell,13.2,,,0.00479976,close 0.4545,1617593969,"2021-04-05, 10:39:29",0.4545,-0.00248976000000041,0.225,0.039348159999999605
close,1617594228,"2021-04-05, 10:43:47",0.683,buy,8.8,,,0.004820176,close 0.68755,1617594343,"2021-04-05, 10:45:43",0.68755,0.03521982399999941,0.225,0.038283833999999385
close,1617594228,"2021-04-05, 10:43:48",0.45785,sell,13.1,,,0.00479599,close 0.45725,1617594344,"2021-04-05, 10:45:43",0.45725,0.003064009999999978,0.225,0.038283833999999385
close,1617592904,"2021-04-05, 10:21:44",0.680025,buy,8.8,,,0.004822936,close 0.691175,1617594403,"2021-04-05, 10:46:43",0.691175,0.09329706399999976,0.23,0.017329868000000567
close,1617592904,"2021-04-05, 10:21:44",0.44995,sell,13.3,,,0.004812196,close 0.455225,1617594403,"2021-04-05, 10:46:43",0.4553,-0.0759671959999992,0.23,0.017329868000000567
close,1617595119,"2021-04-05, 10:58:38",0.6812,buy,8.8,,,0.004815160000000001,close 0.68605,1617595341,"2021-04-05, 11:02:20",0.686125,0.03852483999999971,0.23,0.04902517499999977
close,1617595119,"2021-04-05, 10:58:39",0.451275,sell,13.3,,,0.004794665,close 0.45055,1617595341,"2021-04-05, 11:02:21",0.450125,0.010500335000000059,0.23,0.04902517499999977
close,1617603994,"2021-04-05, 13:26:34",0.68195,buy,8.8,,,0.00481912,close 0.687225,1617604254,"2021-04-05, 13:30:54",0.68725,0.04182088000000091,0.23,0.043324139000000664
close,1617603994,"2021-04-05, 13:26:34",0.4524,sell,13.3,,,0.004814241,close 0.4519,1617604254,"2021-04-05, 13:30:54",0.451925,0.0015032589999997535,0.23,0.043324139000000664
close,1617604513,"2021-04-05, 13:35:13",0.6804,buy,8.8,,,0.004839096,close 0.693,1617605096,"2021-04-05, 13:44:56",0.692925,0.10538090399999998,0.23,0.022415356000000455
close,1617604513,"2021-04-05, 13:35:13",0.450525,sell,13.3,,,0.004828048,close 0.456275,1617605096,"2021-04-05, 13:44:56",0.4564,-0.08296554799999953,0.23,0.022415356000000455
close,1617605910,"2021-04-05, 13:58:30",0.67325,buy,8.9,,,0.004824449,close 0.68105,1617606715,"2021-04-05, 14:11:54",0.681025,0.06437305099999958,0.225,0.030077834999999192
close,1617605910,"2021-04-05, 13:58:30",0.4484,sell,13.4,,,0.004815216000000001,close 0.4506,1617606715,"2021-04-05, 14:11:55",0.4506,-0.03429521600000039,0.225,0.030077834999999192
close,1617605475,"2021-04-05, 13:51:15",0.683825,buy,8.8,,,0.004813632,close 0.682425,1617607447,"2021-04-05, 14:24:06",0.68285,-0.013393632000000254,0.23,0.07919871600000024
close,1617605476,"2021-04-05, 13:51:15",0.4539,sell,13.2,,,0.004757651999999999,close 0.44645,1617607447,"2021-04-05, 14:24:07",0.446525,0.09259234800000049,0.23,0.07919871600000024
