status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617333752,"2021-04-02, 10:22:32",0.57175,buy,10.5,,,0.004803975,close 0.572375,1617333910,"2021-04-02, 10:25:10",0.572375,0.0017585249999993603,0.129,0.008164452999999145
close,1617333752,"2021-04-02, 10:22:32",0.44275,sell,13.6,,,0.004814072,close 0.441925,1617333910,"2021-04-02, 10:25:10",0.441925,0.006405927999999786,0.129,0.008164452999999145
close,1617333928,"2021-04-02, 10:25:28",0.57235,buy,10.5,,,0.004811640000000001,close 0.5743,1617334255,"2021-04-02, 10:30:54",0.5742,0.014613360000000025,0.131,-0.0020924799999997735
close,1617333929,"2021-04-02, 10:25:28",0.441375,sell,13.6,,,0.00480584,close 0.44225,1617334255,"2021-04-02, 10:30:55",0.44225,-0.0167058399999998,0.131,-0.0020924799999997735
close,1617334706,"2021-04-02, 10:38:26",0.5739,buy,10.5,,,0.004821115,close 0.574075,1617335217,"2021-04-02, 10:46:57",0.574075,-0.0029836150000002856,0.128,0.005366424999999681
close,1617334706,"2021-04-02, 10:38:26",0.445875,sell,13.5,,,0.004812459999999999,close 0.4449,1617335217,"2021-04-02, 10:46:57",0.4449,0.008350039999999967,0.128,0.005366424999999681
close,1617335378,"2021-04-02, 10:49:38",0.57385,buy,10.5,,,0.00482206,close 0.5743,1617335413,"2021-04-02, 10:50:13",0.5743,-9.70599999985779e-05,0.129,0.007255475000001527
close,1617335378,"2021-04-02, 10:49:38",0.444875,sell,13.5,,,0.004797465,close 0.443975,1617335413,"2021-04-02, 10:50:13",0.443975,0.007352535000000105,0.129,0.007255475000001527
close,1617334616,"2021-04-02, 10:36:56",0.5749,buy,10.4,,,0.004779192,close 0.574325,1617335544,"2021-04-02, 10:52:24",0.574325,-0.010759192000000096,0.13,0.006722258000000392
close,1617334617,"2021-04-02, 10:36:56",0.4449,sell,13.5,,,0.00479355,close 0.44325,1617335544,"2021-04-02, 10:52:24",0.44325,0.017481450000000488,0.13,0.006722258000000392
close,1617336042,"2021-04-02, 11:00:42",0.573875,buy,10.5,,,0.004811455,close 0.571925,1617336919,"2021-04-02, 11:15:19",0.571775,-0.026861455000000124,0.128,0.01626445000000009
close,1617336042,"2021-04-02, 11:00:42",0.445975,sell,13.5,,,0.004799095,close 0.442625,1617336919,"2021-04-02, 11:15:19",0.442425,0.043125905000000214,0.128,0.01626445000000009
close,1617337169,"2021-04-02, 11:19:29",0.570775,buy,10.5,,,0.00479715,close 0.57075,1617337236,"2021-04-02, 11:20:36",0.57075,-0.0050596500000007205,0.128,0.00882913399999833
close,1617337169,"2021-04-02, 11:19:29",0.442775,sell,13.6,,,0.004811216,close 0.4414,1617337236,"2021-04-02, 11:20:36",0.4414,0.01388878399999905,0.128,0.00882913399999833
close,1617337485,"2021-04-02, 11:24:44",0.56965,buy,10.5,,,0.004786520000000001,close 0.570675,1617337590,"2021-04-02, 11:26:30",0.5706,0.005188479999999844,0.128,0.005487535999998617
close,1617337485,"2021-04-02, 11:24:45",0.441725,sell,13.6,,,0.004800944,close 0.441325,1617337590,"2021-04-02, 11:26:30",0.44135,0.0002990559999987725,0.128,0.005487535999998617
close,1617336911,"2021-04-02, 11:15:11",0.572075,buy,10.5,,,0.0047995649999999996,close 0.571275,1617337781,"2021-04-02, 11:29:41",0.571325,-0.012674565000000297,0.129,0.012929574999999076
close,1617336911,"2021-04-02, 11:15:11",0.44315,sell,13.5,,,0.00477086,close 0.440925,1617337781,"2021-04-02, 11:29:41",0.4409,0.025604139999999373,0.129,0.012929574999999076
close,1617338453,"2021-04-02, 11:40:52",0.5702,buy,10.5,,,0.00478757,close 0.57085,1617338670,"2021-04-02, 11:44:30",0.57085,0.002037429999999193,0.128,0.0047048539999993465
close,1617338453,"2021-04-02, 11:40:53",0.4422,sell,13.6,,,0.004812576,close 0.44165,1617338670,"2021-04-02, 11:44:30",0.44165,0.0026674240000001534,0.128,0.0047048539999993465
close,1617344763,"2021-04-02, 13:26:02",0.5705,buy,10.5,,,0.004794525,close 0.570125,1617344942,"2021-04-02, 13:29:02",0.570125,-0.008732024999999262,0.117,0.007942339000001374
close,1617344763,"2021-04-02, 13:26:03",0.45345,sell,13.2,,,0.004775636,close 0.451925,1617344943,"2021-04-02, 13:29:02",0.451825,0.016674364000000635,0.117,0.007942339000001374
close,1617345182,"2021-04-02, 13:33:02",0.567975,buy,10.6,,,0.004820758,close 0.5686,1617345218,"2021-04-02, 13:33:38",0.568575,0.0015392420000008098,0.114,0.006644893999999941
close,1617345182,"2021-04-02, 13:33:02",0.454225,sell,13.2,,,0.004794348,close 0.4534,1617345219,"2021-04-02, 13:33:38",0.453475,0.005105651999999131,0.114,0.006644893999999941
