status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1618569355,2021-04-16 10:35:55,1.6137,LONG,3.7,,,0.004787896,"open:1.00998 sys0:[1.6136,1.6137]| close:1.01598 sys0:[1.6202,1.6203]",1618569368,2021-04-16 10:36:08,1.6202,0.019262103999999905,1.01,0.005469204800000082
close,1618569355,2021-04-16 10:35:55,0.60361,SHORT,9.9,,,0.0047838992,"open:1.00998 sys1:[0.60361,0.60362]| close:1.01598 sys1:[0.60432,0.60452]",1618569368,2021-04-16 10:36:08,0.60452,-0.013792899199999823,1.01,0.005469204800000082
close,1618569539,2021-04-16 10:38:59,1.6023,LONG,3.7,,,0.004748804000000001,"open:0.99802 sys0:[1.6019,1.6023]| close:1.00337 sys0:[1.6073,1.6074]",1618569546,2021-04-16 10:39:06,1.6073,0.013751195999999516,0.998,0.005504197599998354
close,1618569539,2021-04-16 10:38:59,0.60369,SHORT,9.9,,,0.004781998400000001,"open:0.99802 sys1:[0.60369,0.60388]| close:1.00337 sys1:[0.60403,0.60404]",1618569546,2021-04-16 10:39:06,0.60404,-0.008246998400001163,0.998,0.005504197599998354
close,1618569581,2021-04-16 10:39:41,1.5854,LONG,3.8,,,0.004827863999999999,"open:0.982 sys0:[1.5843,1.5854]| close:0.98843 sys0:[1.5907,1.5908]",1618569592,2021-04-16 10:39:52,1.5907,0.015312136000000491,0.982,0.006992496000000655
close,1618569581,2021-04-16 10:39:41,0.60206,SHORT,10.0,,,0.00481964,"open:0.982 sys1:[0.60206,0.6023]| close:0.98843 sys1:[0.60237,0.60241]",1618569592,2021-04-16 10:39:52,0.60241,-0.008319639999999837,0.982,0.006992496000000655
close,1618569777,2021-04-16 10:42:57,1.5661,LONG,3.8,,,0.004773848000000001,"open:0.96602 sys0:[1.566,1.5661]| close:0.97416 sys0:[1.5749,1.575]",1618569806,2021-04-16 10:43:26,1.5749,0.02866615199999969,0.966,0.01176239199999947
close,1618569777,2021-04-16 10:42:57,0.59973,SHORT,10.0,,,0.004803760000000001,"open:0.96602 sys1:[0.59973,0.59998]| close:0.97416 sys1:[0.60084,0.60094]",1618569806,2021-04-16 10:43:26,0.60094,-0.016903760000000222,0.966,0.01176239199999947
close,1618569823,2021-04-16 10:43:43,1.5692,LONG,3.8,,,0.004781872,"open:0.96802 sys0:[1.5691,1.5692]| close:0.97332 sys0:[1.5736,1.5741]",1618569837,2021-04-16 10:43:57,1.5736,0.01193812800000029,0.968,0.005934168000000423
close,1618569823,2021-04-16 10:43:43,0.60087,SHORT,10.0,,,0.0048039599999999995,"open:0.96802 sys1:[0.60087,0.60108]| close:0.97332 sys1:[0.60078,0.60099]",1618569837,2021-04-16 10:43:57,0.60099,-0.006003959999999867,0.968,0.005934168000000423
close,1618569822,2021-04-16 10:43:42,1.5713,LONG,3.8,,,0.004786584,"open:0.96999 sys0:[1.5711,1.5713]| close:0.97537 sys0:[1.5767,1.5768]",1618569857,2021-04-16 10:44:17,1.5767,0.015733416000000316,0.97,0.0054276560000007
close,1618569822,2021-04-16 10:43:42,0.60089,SHORT,10.0,,,0.00480576,"open:0.96999 sys1:[0.60089,0.60111]| close:0.97537 sys1:[0.60143,0.60144]",1618569857,2021-04-16 10:44:17,0.60144,-0.010305759999999616,0.97,0.0054276560000007
close,1618569908,2021-04-16 10:45:08,1.5685,LONG,3.8,,,0.004773544,"open:0.968 sys0:[1.5684,1.5685]| close:0.97411 sys0:[1.5747,1.5754]",1618569935,2021-04-16 10:45:35,1.5747,0.018786455999999802,0.968,0.004381255999999972
close,1618569908,2021-04-16 10:45:08,0.60034,SHORT,10.0,,,0.0048052,"open:0.968 sys1:[0.60034,0.6004]| close:0.97411 sys1:[0.60129,0.6013]",1618569935,2021-04-16 10:45:35,0.6013,-0.01440519999999983,0.968,0.004381255999999972
close,1618569868,2021-04-16 10:44:28,1.5738,LONG,3.8,,,0.004787344,"open:0.97199 sys0:[1.5737,1.5738]| close:0.97605 sys0:[1.5772,1.5773]",1618569936,2021-04-16 10:45:36,1.5772,0.008132655999999377,0.972,0.006116975999999958
close,1618569868,2021-04-16 10:44:28,0.6017,SHORT,10.0,,,0.004815679999999999,"open:0.97199 sys1:[0.6017,0.60171]| close:0.97605 sys1:[0.60125,0.60142]",1618569936,2021-04-16 10:45:36,0.60142,-0.0020156799999994195,0.972,0.006116975999999958
close,1618569882,2021-04-16 10:44:42,1.5717,LONG,3.8,,,0.004787344,"open:0.97 sys0:[1.5714,1.5717]| close:0.97605 sys0:[1.5772,1.5773]",1618569936,2021-04-16 10:45:36,1.5772,0.016112655999999254,0.97,0.00940697600000013
close,1618569882,2021-04-16 10:44:42,0.60123,SHORT,10.0,,,0.00480568,"open:0.97 sys1:[0.60123,0.6014]| close:0.97605 sys1:[0.60125,0.60142]",1618569936,2021-04-16 10:45:36,0.60142,-0.006705679999999124,0.97,0.00940697600000013
